District,Zone,Latitude,Longitude
Thoubal,Green,24.6300,94.0200
Ukhrul,Green,24.8140,93.9503
Anuppur,Green,23.1152,81.7005
Ashoknagar,Green,24.5775,77.7319
Balaghat,Green,21.8129,80.1838
Bhind,Green,26.5857,78.7705
Chhatarpur,Green,24.9157,79.5822
Damoh,Green,23.8400,79.4500
Datia,Green,25.6700,78.4700
Jhabua,Green,22.7700,74.6000
Katni,Green,23.4800,80.4000
Mandla,Green,22.6000,80.3800
Narsinghpur,Green,22.9470,79.1920
"Niwari, Madhya Pradesh",Green,25.4300,79.7100
Panna,Green,24.2700,80.1700
Rajgarh,Green,24.0300,76.8800
Rewa,Green,24.5300,81.3000
Satna,Green,24.1600,80.8300
Rewa MP,Green,24.5360,81.3030
Shivpuri,Green,25.4300,77.6500
Sidhi,Green,24.3956,81.8825
Singrauli,Green,24.2020,82.6660
Umaria,Green,23.3800,81.1000
Aizawl,Green,23.7272,92.7178
Champhai,Green,23.4560,93.3290
Hnahthial,Green,22.9826,92.9113
Khawzawl,Green,23.5251,93.1612
Kolasib,Green,24.2311,92.6761
Lawngtlai,Green,22.5336,92.8965
Lunglei,Green,22.8800,92.7300
Mamit,Green,23.9300,92.4800
Saiha,Green,22.4800,92.9700
Saitual,Green,23.6896,92.9557
Serchhip,Green,23.3417,92.8502
Dimapur,Green,25.9090,93.7260
Kiphire,Green,25.8680,94.7850
Kohima,Green,25.6667,94.1167
Longleng,Green,26.4685,94.8092
Mokokchung,Green,26.3167,94.5167
Mon,Green,26.7330,95.0610
Peren,Green,25.5540,93.7406
Phek,Green,25.6667,94.5000
Tuensang,Green,26.2716,94.8314
Wokha,Green,26.1000,94.2700
Zunheboto,Green,25.9700,94.5200
Bargarh,Green,21.3300,83.6200
Boudh,Green,20.8330,84.3330
Cuttack,Green,20.2700,85.5200
Gajapati,Green,19.1910,84.2000
Kandhamal,Green,20.1081,84.0417
Malkangiri,Green,19.1910,81.9000
Nabarangpur,Green,19.2300,82.5500
Nuapada,Green,20.8167,82.5333
Puri,Green,19.8188,85.8313
Rayagada,Green,19.1700,83.4200
Sambalpur,Green,21.4700,83.9700
Subarnapur,Green,20.8500,83.9000
Fazilka,Green,30.4030,74.0250
Rupnagar,Green,30.9664,76.5331
Karaikal,Green,10.9327,79.8319
Mahé,Green,11.7208,75.5337
Yanam,Green,16.7333,82.2500
Baran,Green,25.1000,76.5200
Bundi,Green,25.4320,75.6480
Sri Ganganagar,Green,29.9200,73.8800
Pratapgarh,Green,24.0344,74.7804
East Sikkim,Green,27.3170,88.6000
North ,Green,27.8230,88.5560
South ,Green,27.2850,88.3940
West Bengal,Green,27.5330,88.5122
Bhadradri Kothagudem,Green,17.7153,80.5715
