LOCATION,Zone,LATITUDE,LONGITUDE
Dindori,Orange,22.8457,81.0755
Guna,Orange,24.6500,77.3200
Harda,Orange,22.3355,77.0996
Hoshangabad,Orange,22.7441,77.7370
Khargone,Orange,21.4900,75.3600
Mandsaur,Orange,24.0300,75.0800
Morena,Orange,26.5000,78.0000
Neemuch,Orange,24.4500,74.8700
Raisen,Orange,23.3300,77.8000
Ratlam,Orange,23.3340,75.0370
Sagar,Orange,23.8380,78.7378
Sehore,Orange,23.2000,77.0800
Shahdol,Orange,23.3022,81.3568
Shajapur,Orange,23.4246,76.2757
Sheopur,Orange,25.6700,76.7000
Tikamgarh,Orange,24.8069,78.8625
Vidisha,Orange,23.5300,77.8200
Balangir,Orange,20.7000,83.5000
Deogarh,Orange,21.5380,84.7280
Dhenkanal,Orange,20.6500,85.6000
Jagatsinghpur,Orange,20.2700,86.1700
Jharsuguda,Orange,21.8500,84.0300
Kalahandi,Orange,20.0830,83.2000
Kendrapara,Orange,20.5000,86.4200
Kendujhar,Orange,21.6330,85.6000
Khordha,Orange,20.1660,85.6660
Koraput,Orange,19.1910,82.7083
Mayurbhanj,Orange,21.8242,86.4242
Nayagarh,Orange,20.1300,85.1000
Sundergarh,Orange,22.1200,84.0300
Amritsar,Orange,31.6400,74.8600
Barnala,Orange,30.3833,75.5500
Bathinda,Orange,30.2100,74.9400
Faridkot,Orange,30.6700,74.7600
Fatehgarh Sahib,Orange,30.6472,76.3931
Firozpur,Orange,30.9166,74.6000
Gurdaspur,Orange,31.9167,75.2500
Hoshiarpur,Orange,31.5300,75.9200
Kapurthala,Orange,31.3794,75.3847
Mansa,Orange,29.9833,75.3833
Moga,Orange,30.8000,75.1700
Pathankot,Orange,32.2668,75.6434
Mohali,Orange,30.7800,76.6900
Sangrur,Orange,30.2506,75.8442
Shahid Bhagat Singh Nagar,Orange,31.1274,76.1093
Sri Muktsar Sahib,Orange,30.4750,74.5150
Tarn Taran Sahib,Orange,31.4491,74.9205
Puducherry,Orange,11.9350,79.8300
Alwar,Orange,27.5454,76.6049
Barmer,Orange,25.7500,71.3800
Bhilwara,Orange,25.3504,74.6350
Bikaner,Orange,28.0304,73.3299
Chittorgarh,Orange,24.8820,74.6230
Churu,Orange,23.4246,76.2757
Dausa,Orange,26.8932,76.3375
Dholpur,Orange,26.7000,77.9000
Dungarpur,Orange,23.8417,73.7147
Hanumangarh,Orange,29.6109,74.2951
Jaisalmer,Orange,26.9200,70.9000
Jalore,Orange,25.3500,72.6200
Jhunjhunu,Orange,28.1300,75.4000
Karauli,Orange,26.5000,77.0200
Pali,Orange,25.7700,73.3300
Rajsamand,Orange,25.0700,73.8800
Sawai Madhopur,Orange,26.0174,76.3554
Sikar,Orange,27.6200,75.1500
Sirohi,Orange,24.8852,72.8575
Tonk,Orange,26.1505,75.7900
Udaipur,Orange,24.6000,73.7300
Adilabad,Orange,19.6700,78.5300
Jagtial,Orange,18.8000,78.9300
Jangaon,Orange,17.7200,79.1800
Jayashankar Bhupalapally,Orange,18.4293,79.8630
Jogulamba Gadwal,Orange,16.2330,77.8080
Kamareddy,Orange,18.3167,78.3500
Karimnagar,Orange,18.4369,79.1242
Khammam,Orange,17.2500,80.1500
Asifabad,Orange,19.3700,79.2800
Mahbubnagar,Orange,16.7500,78.0000
Mancherial,Orange,18.8679,79.4639
Medak,Orange,18.0460,78.2630
Nalgonda,Orange,17.0500,79.2700
Narayanpet,Orange,16.7300,77.5000
Nirmal,Orange,19.1000,78.3500
Nizamabad,Orange,18.6720,78.0940
Rajanna Sircilla,Orange,18.3880,78.8000
Sangareddi,Orange,17.6294,78.0917
Ariyalur,Orange,11.0760,79.1175
Coimbatore,Orange,11.0183,76.9725
Cuddalore,Orange,11.7500,79.7500
Dharmapuri,Orange,12.1260,78.1540
Dindigul,Orange,10.3500,77.9500
Kallakurichi,Orange,11.7389,78.9739
Kanyakumari,Orange,8.0780,77.5410
Karur,Orange,10.9500,78.0800
Krishnagiri,Orange,12.5300,78.2300
Nagapattinam,Orange,10.7700,79.8300
Nilgiris,Orange,11.4000,76.7000
Perambalur,Orange,11.2300,78.8800
Pudukkottai,Orange,10.3800,78.8200
Ramanathapuram,Orange,9.3800,78.8300
Salem,Orange,11.6500,78.1600
Sivaganga,Orange,9.8700,78.4800
Tenkasi,Orange,8.9700,77.3000
Theni,Orange,10.0090,77.4700
Thoothukudi,Orange,8.8100,78.1400
Tiruchirappalli,Orange,10.8050,78.6856
Tirunelveli,Orange,8.7300,77.7000
Tiruppattur,Orange,12.5000,78.6000
Tiruvannamalai,Orange,12.2200,79.0700
Viluppuram,Orange,11.9410,79.4930
Gomati,Orange,23.4613,91.6072
North Tripura,Orange,24.0921,92.2451
Amethi,Orange,26.3474,81.6239
Auraiya,Orange,26.6557,79.5150
Faizabad,Orange,26.6381,82.0590
Azamgarh,Orange,26.6000,83.1900
Bagpat,Orange,28.9400,77.2200
Bahraich,Orange,27.7337,81.4773
Balrampur,Orange,27.4333,82.1833
Banda,Orange,25.5008,80.4998
Basti,Orange,27.2500,83.0000
Bhadohi,Orange,25.4200,82.5700
Budaun,Orange,28.0300,79.0900
Deoria,Orange,26.4238,83.7627
Etah,Orange,27.5541,78.6008
Etawah,Orange,26.7855,79.0150
Fatehpur,Orange,25.9333,80.8000
Ghaziabad,Orange,28.6604,77.4084
Ghazipur,Orange,25.6035,83.5075
Gonda,Orange,27.1097,81.9183
Gorakhpur,Orange,26.7550,83.3739
Hapur,Orange,28.7437,77.7628
Hardoi,Orange,27.3386,80.0975
Hathras,Orange,27.6000,78.0500
Jalaun,Orange,26.0600,79.4200
Jaunpur,Orange,25.7956,82.4883
Jhansi,Orange,25.4486,78.5696
Kannauj,Orange,26.9997,79.6886
Kasganj,Orange,27.8200,78.6500
Kaushambi,Orange,25.5361,81.4467
Mainpuri,Orange,27.1667,79.0000
Mau,Orange,26.0377,83.4979
Mirzapur,Orange,25.1500,82.6000
Pilibhit,Orange,28.5500,80.1000
Pratapgarh,Orange,25.9330,81.9830
Allahabad,Orange,25.4500,81.8500
Sambhal,Orange,28.5800,78.5500
Shamli,Orange,29.4481,77.3103
Shravasti,Orange,27.5083,82.0264
Sitapur,Orange,27.5046,80.8295
Sultanpur,Orange,26.2425,82.2962
Unnao,Orange,26.5755,80.6138
Almora,Orange,29.6200,79.6700
Dehradun,Orange,30.1812,78.1220
Nainital,Orange,29.2300,79.2700
Pauri Garhwal,Orange,29.8459,78.7077
Udham Singh Nagar,Orange,29.0481,79.4313
Uttarkashi,Orange,30.7300,78.4500
Birbhum,Orange,23.9167,87.5333
Darjeeling,Orange,26.6265,88.5047
Hooghly,Orange,25.0057,88.5047
Jalpaiguri,Orange,26.6265,88.5047
Kalimpong,Orange,23.3917,88.5047
Malda,Orange,25.0057,88.5047
Murshidabad,Orange,25.8708,88.5047
Nadia,Orange,23.4845,88.5568
Paschim Bardhaman,Orange,23.4845,87.4133
Paschim Medinipur,Orange,23.6426,87.9062
Purba Bardhaman,Orange,22.3599,86.4189
South 24 Parganas,Orange,22.1815,88.5378
